film_id,title,description,release_year,rental_rate,is_active,last_update
0,dredger,The delightful tender watches adverb.The foamy clockwork sweeps spyglass.,1987-04-22,1478.53,False,2022-06-23 00:00:00
1,worker,The halting smog stinks invite.The womanly flight shears ski.,2011-10-26,1901.48,False,2022-08-21 23:59:59.999999
2,theater,The somber card hurries peacoat.The black underwear mugs necessity.,1996-02-20,1256.5,True,2023-01-01 00:00:00
3,butcher,The maddening substance confesses inbox.The alluring compass withholds hydrant.,1982-07-30,1912.46,False,2022-07-10 23:59:59.999999
4,theism,The delightful producer spreads cinnamon.The panicky yoyo switches compassionate.,2021-12-17,1151.21,False,2022-09-04 00:00:00
5,typhoon,The tired square considers ranch.The unaccountable mastication telephones visitor.,1984-04-14,1490.87,False,2022-06-18 23:59:59.999999
6,salesman,The delightful pamphlet curves gambling.The proud genie slits editorial.,1990-10-05,1859.76,True,2022-01-22 23:59:59.999999
7,espalier,The easy test walks bird-watcher.The famous clipboard serves labor.,2000-08-22,1933.48,False,2022-07-16 00:00:00
8,relax,The understood ceremony serves vaccine.The faded drummer spills correspondent.,2020-04-10,1579.2,False,2022-04-02 23:59:59.999999
9,racing,The smooth littleneck wears rivulet.The embarrassed cloudburst bows squatter.,1994-05-03,1257.78,False,2022-01-19 23:59:59.999999
